,0
0,1
1,2050
2,2052
3,2053
4,6
5,2055
6,2056
7,2064
8,17
9,22
10,2070
11,2072
12,2074
13,2078
14,2079
15,36
16,2087
17,2093
18,47
19,48
20,2095
21,51
22,2099
23,53
24,2103
25,2105
26,2111
27,2120
28,73
29,74
30,2121
31,2122
32,78
33,79
34,2126
35,2127
36,2129
37,84
38,87
39,2135
40,89
41,2137
42,2140
43,94
44,96
45,97
46,98
47,102
48,103
49,104
50,105
51,2153
52,107
53,2159
54,113
55,2161
56,2167
57,121
58,122
59,2170
60,2173
61,2180
62,133
63,134
64,2182
65,2186
66,2187
67,140
68,2190
69,145
70,146
71,2194
72,152
73,153
74,2202
75,155
76,2204
77,2208
78,2209
79,162
80,163
81,165
82,166
83,2214
84,2216
85,2219
86,2222
87,2228
88,2229
89,2230
90,183
91,184
92,2235
93,2236
94,189
95,2238
96,201
97,2250
98,2253
99,2254
100,2255
101,2256
102,213
103,216
104,217
105,2267
106,220
107,2269
108,223
109,224
110,2271
111,2277
112,2278
113,232
114,234
115,238
116,2289
117,2294
118,2296
119,2301
120,254
121,255
122,258
123,259
124,2307
125,263
126,269
127,2319
128,272
129,275
130,2324
131,2325
132,2328
133,2329
134,2330
135,2331
136,2332
137,2333
138,286
139,2336
140,2338
141,292
142,294
143,2343
144,2345
145,2347
146,300
147,304
148,2354
149,308
150,309
151,2356
152,313
153,316
154,324
155,2372
156,2374
157,2376
158,2383
159,2385
160,339
161,2387
162,2390
163,345
164,2393
165,348
166,2398
167,353
168,354
169,2401
170,360
171,2408
172,363
173,364
174,366
175,2414
176,2416
177,2421
178,374
179,2425
180,2426
181,382
182,2432
183,2433
184,387
185,388
186,2435
187,390
188,391
189,392
190,2443
191,396
192,400
193,2449
194,402
195,2450
196,2451
197,2453
198,406
199,2454
200,409
201,410
202,2457
203,414
204,417
205,420
206,421
207,2470
208,2473
209,426
210,2476
211,431
212,2479
213,2481
214,2483
215,440
216,2488
217,2493
218,450
219,2498
220,452
221,2499
222,2500
223,455
224,2502
225,2503
226,460
227,462
228,2515
229,469
230,2517
231,2518
232,472
233,473
234,474
235,475
236,2522
237,477
238,2523
239,482
240,2530
241,2531
242,2532
243,2534
244,489
245,2538
246,491
247,2540
248,494
249,2542
250,496
251,2545
252,502
253,505
254,2553
255,2554
256,2556
257,509
258,2557
259,2560
260,516
261,524
262,525
263,2573
264,527
265,2574
266,2576
267,2578
268,2579
269,532
270,533
271,2582
272,535
273,2583
274,2590
275,545
276,551
277,552
278,2600
279,2601
280,557
281,2605
282,561
283,2610
284,563
285,567
286,568
287,2616
288,2619
289,2620
290,574
291,2623
292,578
293,581
294,585
295,2633
296,2635
297,593
298,594
299,2646
300,610
301,2658
302,613
303,2665
304,2666
305,619
306,621
307,2669
308,2670
309,625
310,2674
311,629
312,631
313,2679
314,2680
315,634
316,2681
317,2682
318,2693
319,2694
320,2698
321,2703
322,2708
323,661
324,2712
325,668
326,2719
327,673
328,674
329,2721
330,2722
331,2727
332,680
333,2729
334,2733
335,2735
336,688
337,2741
338,2743
339,2744
340,700
341,702
342,2752
343,2755
344,708
345,2759
346,712
347,2760
348,714
349,2764
350,720
351,2769
352,722
353,2770
354,724
355,725
356,2771
357,2772
358,728
359,2773
360,2775
361,2776
362,2777
363,2779
364,735
365,2784
366,2785
367,740
368,2788
369,747
370,2796
371,2797
372,752
373,757
374,761
375,763
376,764
377,2813
378,767
379,2815
380,2816
381,770
382,2817
383,2819
384,777
385,778
386,2826
387,782
388,784
389,2837
390,791
391,798
392,2846
393,803
394,2852
395,2854
396,811
397,2860
398,2862
399,815
400,816
401,2863
402,2865
403,820
404,2868
405,823
406,2872
407,2874
408,827
409,828
410,2877
411,832
412,2881
413,2882
414,2884
415,837
416,839
417,841
418,2889
419,2890
420,844
421,846
422,847
423,2898
424,2899
425,2901
426,854
427,2903
428,856
429,2906
430,860
431,2908
432,862
433,2910
434,865
435,870
436,2918
437,2926
438,882
439,2930
440,887
441,2935
442,2937
443,2943
444,896
445,897
446,898
447,900
448,2949
449,904
450,910
451,916
452,917
453,919
454,2969
455,922
456,923
457,2971
458,925
459,927
460,931
461,939
462,2988
463,949
464,2998
465,3002
466,956
467,3007
468,960
469,962
470,964
471,3013
472,3015
473,3016
474,3017
475,970
476,3020
477,3023
478,3024
479,3027
480,3030
481,3031
482,984
483,3032
484,3033
485,989
486,3038
487,991
488,3046
489,3048
490,3051
491,3055
492,1009
493,1015
494,3063
495,3064
496,3065
497,1019
498,1021
499,3069
500,3071
501,3072
502,1025
503,1026
504,3073
505,3074
506,3077
507,1030
508,3078
509,1032
510,3081
511,3082
512,3083
513,3085
514,3088
515,1041
516,1042
517,3091
518,3093
519,3094
520,1050
521,3098
522,3099
523,3102
524,1057
525,1058
526,3105
527,3106
528,1062
529,3110
530,3112
531,1066
532,3114
533,3115
534,3116
535,1070
536,1071
537,1074
538,3126
539,3127
540,3132
541,3133
542,1086
543,3135
544,1091
545,1092
546,3139
547,3140
548,3143
549,1096
550,3151
551,1105
552,1106
553,3155
554,3158
555,1111
556,1113
557,3162
558,3164
559,1122
560,3171
561,3174
562,1128
563,3176
564,3177
565,1132
566,3180
567,3183
568,1136
569,1138
570,1139
571,3188
572,3191
573,1145
574,3194
575,1147
576,1148
577,3196
578,3199
579,1153
580,3201
581,3202
582,1157
583,1161
584,1162
585,3209
586,3212
587,3215
588,1168
589,3216
590,3218
591,3220
592,1173
593,3223
594,3224
595,3226
596,1180
597,1184
598,1190
599,3239
600,1194
601,3243
602,1196
603,3244
604,1206
605,3254
606,3256
607,1209
608,3257
609,3258
610,3259
611,1213
612,3262
613,1215
614,1217
615,3268
616,1221
617,1222
618,3269
619,1227
620,3276
621,3277
622,1230
623,1235
624,1238
625,1239
626,3286
627,3287
628,1242
629,3290
630,1245
631,3293
632,1247
633,3295
634,1255
635,3307
636,3311
637,1269
638,1274
639,3323
640,3324
641,3325
642,1278
643,1279
644,1280
645,1281
646,3326
647,3332
648,1286
649,1288
650,3337
651,1293
652,1294
653,1295
654,3343
655,3346
656,1300
657,1302
658,1304
659,1309
660,3359
661,1313
662,1314
663,1315
664,3362
665,1317
666,1318
667,1330
668,1331
669,1339
670,1343
671,1344
672,1347
673,1348
674,1349
675,1353
676,1357
677,1359
678,1360
679,1369
680,1372
681,1375
682,1382
683,1387
684,1389
685,1391
686,1394
687,1406
688,1413
689,1415
690,1417
691,1421
692,1423
693,1424
694,1428
695,1429
696,1442
697,1444
698,1448
699,1450
700,1451
701,1453
702,1457
703,1462
704,1464
705,1467
706,1473
707,1475
708,1479
709,1485
710,1493
711,1495
712,1501
713,1511
714,1519
715,1525
716,1528
717,1529
718,1534
719,1538
720,1551
721,1566
722,1569
723,1573
724,1577
725,1592
726,1594
727,1595
728,1599
729,1610
730,1617
731,1620
732,1622
733,1624
734,1626
735,1627
736,1628
737,1629
738,1632
739,1638
740,1639
741,1641
742,1642
743,1645
744,1657
745,1663
746,1670
747,1675
748,1681
749,1685
750,1687
751,1690
752,1692
753,1693
754,1694
755,1698
756,1699
757,1705
758,1709
759,1717
760,1718
761,1722
762,1727
763,1732
764,1733
765,1735
766,1742
767,1749
768,1750
769,1751
770,1754
771,1758
772,1760
773,1769
774,1783
775,1788
776,1791
777,1799
778,1802
779,1803
780,1805
781,1807
782,1813
783,1822
784,1826
785,1827
786,1831
787,1832
788,1833
789,1837
790,1838
791,1840
792,1844
793,1846
794,1847
795,1848
796,1850
797,1852
798,1859
799,1860
800,1865
801,1870
802,1872
803,1873
804,1883
805,1885
806,1896
807,1904
808,1909
809,1911
810,1912
811,1918
812,1934
813,1940
814,1941
815,1945
816,1948
817,1950
818,1952
819,1953
820,1956
821,1957
822,1962
823,1966
824,1969
825,1970
826,1978
827,1991
828,1995
829,2000
830,2004
831,2006
832,2009
833,2011
834,2019
835,2021
836,2023
837,2025
838,2030
839,2040
840,2041
841,2044
