,0
0,3274
1,774
2,274
3,2511
4,636
5,746
6,1793
7,3294
8,3006
9,3041
10,3160
11,2915
12,2316
13,1605
14,2820
15,2723
16,1792
17,401
18,1258
19,2977
20,1553
21,577
22,204
23,911
24,650
25,813
26,564
27,2581
28,1028
29,875
30,1471
31,2896
32,1425
33,1065
34,2941
35,2549
36,138
37,434
38,3034
39,2913
40,467
41,2644
42,1604
43,2181
44,1659
45,1301
46,2691
47,733
48,2363
49,3147
50,56
51,344
52,1133
53,2714
54,603
55,1179
56,303
57,732
58,466
59,60
60,2195
61,511
62,3330
63,1881
64,622
65,1410
66,1048
67,727
68,80
69,1920
70,2415
71,2098
72,221
73,233
74,368
75,2821
76,3198
77,7
78,1001
79,2621
80,802
81,1433
82,640
83,1607
84,1352
85,2767
86,2262
87,340
88,2754
89,91
90,31
91,788
92,794
93,2177
94,1668
95,1265
96,9
97,2344
98,2894
99,115
100,3351
101,332
102,202
103,3172
104,1321
105,2165
106,3
107,1768
108,1778
109,3068
110,670
111,2442
112,2368
113,2397
114,938
115,1155
116,2805
117,2027
118,2234
119,305
120,1567
121,652
122,1524
123,2544
124,683
125,119
126,3044
127,2382
128,855
129,1401
130,2684
131,2252
132,1075
133,974
134,2861
135,2146
136,924
137,3134
138,427
139,1862
140,171
141,3249
142,677
143,1689
144,2491
145,2709
146,178
147,405
148,3128
149,1537
150,1867
151,2645
152,1005
153,1877
154,1630
155,114
156,2577
157,762
158,2003
159,2178
160,3097
161,1260
162,123
163,1854
164,853
165,814
166,666
167,1197
168,2089
169,2018
170,1373
171,1561
172,2404
173,1716
174,1504
175,1625
176,2611
177,2029
178,1654
179,1403
180,194
181,743
182,3284
183,2818
184,1819
185,2480
186,2566
187,1900
188,1185
189,3195
190,972
191,329
192,646
193,914
194,812
195,1285
196,67
197,689
198,2495
199,906
200,2892
201,1562
202,754
203,867
204,1497
205,2731
206,786
207,1306
208,2015
209,2507
210,1189
211,817
212,2742
213,1004
214,1287
215,2981
216,1762
217,3214
218,3349
219,3060
220,3197
221,2790
222,796
223,1828
224,2169
225,520
226,34
227,64
228,2237
229,2166
230,1006
231,2774
232,1949
233,293
234,2909
235,262
236,229
237,2999
238,2218
239,2192
240,2013
241,2993
242,68
243,1064
244,696
245,736
246,1879
247,1725
248,2692
249,1072
250,1488
251,3118
252,2104
253,3360
254,979
255,1474
256,90
257,2661
258,118
259,1449
260,759
261,3251
262,1513
263,2469
264,958
265,2687
266,2833
267,1584
268,1299
269,1043
270,2478
271,1674
272,2107
