,0,1,2,3,4,5,6,7
chr1:9696952-9697102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:9700366-9700516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:9700645-9700795,0.0,0.0007493665757779292,0.0,0.0,0.0,0.0,0.0,0.0
chr1:9701010-9701160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12689163-12689313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12689622-12689772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12692406-12692556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12692923-12693073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12693366-12693516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12693656-12693806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12706377-12706527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12711242-12711392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12718183-12718333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12729235-12729385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12771385-12771535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12771696-12771846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12781560-12781710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12785726-12785876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12786284-12786434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12795307-12795457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12795543-12795693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12795683-12795833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12805908-12806058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12806214-12806364,0.0016754764412247967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12826130-12826280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12833228-12833378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12834701-12834851,0.0,0.0,0.0,0.0,0.0,0.0008031852793512734,0.0,0.0
chr1:12835758-12835908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12836105-12836255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12836484-12836634,0.0,0.0004964920471844526,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12836910-12837060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:12852201-12852351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1:19104847-19104997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
